
t2_99: ROCnReg pooledROC.BB pointwise 95% band, B=2000, 200 reps
     k     FPR      truth  low-miss   up-miss  coverage  P(degen)  mean wid
     1   0.998   0.999255     0.525     0.020     0.455     0.525   0.00337
     3   0.994   0.998644     0.400     0.010     0.590     0.385   0.00468
     5   0.990   0.998296     0.365     0.010     0.625     0.355   0.00539
    10   0.980   0.997783     0.280     0.005     0.715     0.260   0.00644
    25   0.950   0.997085     0.215     0.000     0.785     0.210   0.00783
    50   0.900   0.996566     0.180     0.000     0.820     0.170   0.00859
   100   0.800   0.996047     0.130     0.005     0.865     0.130   0.00950
   250   0.500   0.995188     0.090     0.000     0.910     0.090   0.01077
   450   0.100   0.992784     0.040     0.005     0.955     0.020   0.01412

sliver80: ROCnReg pooledROC.BB pointwise 95% band, B=2000, 200 reps
     k     FPR      truth  low-miss   up-miss  coverage  P(degen)  mean wid
     1   0.998   0.998400     0.500     0.005     0.495     0.500   0.00411
     3   0.994   0.998400     0.500     0.005     0.495     0.500   0.00442
     5   0.990   0.998400     0.500     0.005     0.495     0.500   0.00444
    10   0.980   0.998400     0.500     0.005     0.495     0.500   0.00443
    25   0.950   0.998400     0.500     0.005     0.495     0.500   0.00443
    50   0.900   0.998400     0.500     0.005     0.495     0.500   0.00443
   100   0.800   0.998400     0.480     0.005     0.515     0.465   0.00470
   250   0.500   0.904971     0.035     0.015     0.950     0.000   0.07616
   450   0.100   0.411318     0.015     0.030     0.955     0.000   0.15186

t30_95: ROCnReg pooledROC.BB pointwise 95% band, B=2000, 200 reps
     k     FPR      truth  low-miss   up-miss  coverage  P(degen)  mean wid
     1   0.998   0.999997     1.000     0.000     0.000     1.000   0.00000
     3   0.994   0.999991     0.990     0.000     0.010     0.990   0.00004
     5   0.990   0.999983     0.980     0.000     0.020     0.980   0.00006
    10   0.980   0.999959     0.960     0.000     0.040     0.960   0.00020
    25   0.950   0.999858     0.890     0.000     0.110     0.890   0.00060
    50   0.900   0.999591     0.785     0.020     0.195     0.785   0.00152
   100   0.800   0.998627     0.430     0.005     0.565     0.425   0.00451
   250   0.500   0.988851     0.030     0.000     0.970     0.000   0.01931
   450   0.100   0.859847     0.010     0.025     0.965     0.000   0.09193
