method,cov@95%,cov@80%,cov@50%,calib err,area@95%,area ÷ KS,P99 viol@95%,">5pp, AUC>0.9"
Studentized envelope (full),0.9907,0.9672,0.8862,0.1981,0.3613,0.7342,0.0,0.0001
KS fixed-width (DKW),0.9999,0.999,0.9916,0.2469,0.4135,1.0,0.0,0.0
Working–Hotelling (binormal),0.6639,0.5403,0.3333,0.2375,0.1829,0.3564,0.7097,0.2073
Wilson rectangles (Šidák),0.8435,0.6045,0.2559,0.182,0.2871,0.5814,0.6366,0.1236
Wilson rectangles (Bonferroni),0.8445,0.6196,0.3104,0.1585,0.2876,0.5825,0.6364,0.1234
Pointwise bootstrap (Šidák),0.3615,0.3233,0.2774,0.4293,0.2127,0.5159,0.1865,0.0852
Pointwise bootstrap,0.188,0.0631,0.0107,0.6627,0.1491,0.3242,0.2179,0.1313
Envelope without Beta floor,0.9223,0.8948,0.8034,0.142,0.3382,0.6891,0.0736,0.0307
Envelope without Wilson floor,0.4922,0.471,0.4244,0.2875,0.3362,0.6833,0.0164,0.0001
Bare bootstrap envelope (no floors),0.2944,0.2664,0.2149,0.4914,0.2112,0.5098,0.1929,0.0852
Beta floors on both tails (no Wilson),0.9851,0.9626,0.8877,0.1951,0.3477,0.7114,0.0002,0.0001
Wilson floors on both tails (no Beta),0.9933,0.9801,0.9352,0.2195,0.379,0.7855,0.0,0.0
Wilson + Beta floors only (no bootstrap),0.9338,0.9259,0.9119,0.1847,0.3884,0.9133,0.5944,0.1082
